borough,number_of_dropoffs,average_total_fare,average_trip_distance
Queens,594171,26.198651011240866,8.145364600426475
EWR,15198,67.897127253586,17.319306487695744
Brooklyn,663089,20.537036023821848,5.78191909381697
Staten Island,2557,54.639620649198285,19.470453656628862
Manhattan,11306592,10.524336544557363,2.2366158750576637
Bronx,67992,28.15228512177903,9.076717113778093
